Rang,Nom,Nom Print,Ville,FINESS,Score final,Evolution
,,,,,,
1,SA COURLANCY SANTE,"Polyclinique de Reims-Bezannes, (51)",Bezannes,510000532,226,0
2,POLYCLINIQUE DE L'ATLANTIQUE,"Santé Atlantique, Saint-Herblain (44)",ST HERBLAIN,440033819,192,
3,CLINIQUE RHENA GCS,"Clinique Rhéna, Strasbourg (67)",Strasbourg,670018068,142,3
4,CH PRIVÉ ST-GREGOIRE,"CH privé Saint-Grégoire, Saint-Grégoire (35)",ST GREGOIRE,350000121,140,-1
5,POLYCLINIQUE DU PARC RAMBOT,"Hôpital privé de Provence, Aix-en-Provence (13)",AIX EN PROVENCE,130786361,124,
6,CENTRE MEDICO CHIRUGICAL AMBROISE PARE HARTMANN,"Groupe hospitalier privé Ambroise Paré-Hartmann, Neuilly-sur-Seine (92)",Neuilly-sur-Seine,920810736,118,28
7,CLINIQUE CAPIO LA CROIX DU SUD,"Clinique La Croix du Sud, Toulouse (31)",,310026927,106,-3
8,CLINIQUE DE L'ANJOU,"Clinique de l’Anjou, Angers (49)",ANGERS,490014909,98,1
9,CL ST JEAN SUD DE FRANCE,"Clinique Saint-Jean - Sud de France, Saint-Jean-de-Védas (34)",St Jean De Vedas Cedex,340024314,97,
10,SA CLINIQUE PASTEUR,"Clinique Pasteur, Toulouse (31)",TOULOUSE,310780259,96,-5
11,NOUVELLES CLINIQUES NANTAISES,"Hôpital privé du Confluent, Nantes (44)",NANTES,440041580,93,-4
12,CH PRIVÉ ST MARTIN CAEN,"CH privé Saint-Martin, Caen (14)",CAEN,140017237,92,0
13,CLINIQUE SAINT AUGUSTIN,"Clinique Saint-Augustin, Bordeaux (33)",BORDEAUX,330780081,91,1
14,NOUVELLE CLINIQUE DE L'UNION,"Clinique de l’Union, Saint-Jean (31)",L UNION,310780283,90,1
15,MEDIPOLE HOPITAL PRIVÉ,"Médipôle Hôpital Privé, Villeurbanne (69)",Villeurbanne,690041124,89,1
16,CLINIQUE JULES VERNE,"Clinique mutualiste Jules-Verne, Nantes (44)",NANTES,440029379,89,2
17,CLINIQUE CHATAIGNERAIE - BEAUMONT,"Hôpital privé La Châtaigneraie, Beaumont (63)",BEAUMONT,630781839,83,-9
18,HÔPITAL PRIVÉ JEAN MERMOZ,"Hôpital privé Jean-Mermoz, Lyon (69)",LYON,690023411,81,-7
19,INFIRMERIE PROTESTANTE DE LYON,"Infirmerie protestante de Lyon, Caluire-et-Cuire (69)",CALUIRE ET CUIRE,690793468,77,14
20,HÔPITAL PRIVÉ DIJON BOURGOGNE,"Hôpital privé Dijon-Bourgogne, Dijon (21)",,210012670,72,5
21,CLINIQUE SAINT-CYPRIEN RIVE GAUCHE,"Clinique Rive-Gauche, Toulouse (31)",TOULOUSE,310026083,71,2
