Valeurs,Réponse LLM
"Ablation des varices,""Mots-clés pour la pathologie 'Ablation des varices' : Varices, Jambes, Circulation sanguine, Insuffisance veineuse, Douleur, Œdème, Phlébite, Traitement, Sclérothérapie, Chirurgie."""
"Accidents vasculaires cérébraux,""Mots-clés pour la pathologie 'Accidents vasculaires cérébraux' : Cerveau, Ischémie, Hémorragie, Paralysie, Troubles de la parole, Engourdissement, Vertiges, Réhabilitation, Facteurs de risque, AVC transitoire."""
"Accouchements à risques,""Mots-clés pour la pathologie 'Accouchements à risques' : "
"Accouchements normaux,""Mots-clés pour la pathologie 'Accouchements normaux' : "
"Adénome de la prostate,""Mots-clés pour la pathologie 'Adénome de la prostate' : Prostate, Hyperplasie bénigne, Urinaires, Mictions fréquentes, Rétention urinaire, Douleurs pelviennes, Incontinence, Troubles sexuels, Échographie prostatique, PSA (antigène prostatique spécifique)."""
"Amygdales et végétations,""Mots-clés pour la pathologie 'Amygdales et végétations' :  "
"Amygdales, Végétations adénoïdes, Angine, Inflammation, Apnée du sommeil, Mal de gorge, Difficulté respiratoire, Otite, Infections récurrentes, Hypertrophie."""
"Angioplastie coronaire,""Mots-clés pour la pathologie 'Angioplastie coronaire' : Cœur, Artères coronaires, Ischémie, Angine de poitrine, Infarctus du myocarde, Stent, Cathétérisme, Douleurs thoraciques, Athérosclérose, Réduction du flux sanguin."""
"Appendicite,""Mots-clés pour la pathologie 'Appendicite' : Côlon, Douleur abdominale, Nausées, Vomissements, Fièvre, Inflammation, Chirurgie, Appendice, Diagnostic, Saignement."""
"Arthrose de la main,""Mots-clés pour la pathologie 'Arthrose de la main' : Articulations, Douleur, Raideur, Déformation, Inflammation, Mobilité réduite, Main, Os, Traitement, Physiothérapie."""
"Audition,""Mots-clés pour la pathologie 'Audition' : Oreille, Surdité, Tympans, Oreille interne, Acouphènes, Maladie de Ménière, Presbyacousie, Otosclérose, Infections de l’oreille, Audiométrie."""
"Calculs urinaires,""Mots-clés pour la pathologie 'Calculs urinaires' : Rein, Uretère, Vessie, Douleur lombaire, Hématurie, Coliques néphrétiques, Infection urinaire, Déshydratation, Lithotritie, Ultrason."""
"Cancer de l'estomac et de l'œsophage,""Mots-clés pour la pathologie 'Cancer de l'estomac et de l'œsophage' : Estomac, Œsophage, Tumeur, Dysphagie, Perte de poids, Douleurs abdominales, Reflux gastro-œsophagien, Vomissements, Endoscopie, Chimiothérapie."""
