date,question,ville,type,spécialité,résultat
2025-01-21 15:20:24,comment soigner mon Audition dans un hôpital Publique à Paris?,Paris,Public,Audition,"Voici les 3 hôpitaux dans un rayon de 50km:
Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
Fondation Rothschild, Paris (75) - Public - 18.21"
2025-01-21 15:20:57,comment soigner mon Audition dans un hôpital Publique à Lyon?,Lyon,Public,Audition,"Voici les 3 hôpitaux dans un rayon de 50km:
CH Lyon-Sud, Pierre-Bénite (69) - Public - 18.39
CHU - Hôpital Nord, Saint-Etienne (42) - Public - 18.0
Hôpital Edouard-Herriot, Lyon (69) - Public - 17.61"
2025-01-21 17:13:50,J'ai très mal aux pieds à Paris,Paris,aucune correspondance,Chirurgie du pied,"Voici les 3 hôpitaux dans un rayon de 50km:
Hôpital de la Croix-Saint-Simon, Paris (75) - Public - 19.22
Hôpital Ambroise-Paré, Boulogne-Billancourt (92) - Public - 18.87
Clinique Victor-Hugo, Paris (75) - Privé - 18.74"
2025-01-22 15:36:03,Je veux soigner mon audition à Marseille,Marseille,aucune correspondance,Audition,"Voici les 3 hôpitaux dans un rayon de 200km:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
CHU - Hôpital Gui-de-Chauliac, Montpellier (34) - Public - 17.8
CHU, Nîmes (30) - Public - 17.58"
2025-01-22 15:39:06,Je veux soigner mon audition à Toulon,Toulon,aucune correspondance,Audition,"Voici les 3 hôpitaux dans un rayon de 200km:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
CHU - Hôpital Gui-de-Chauliac, Montpellier (34) - Public - 17.8
CHU, Nîmes (30) - Public - 17.58"
2025-01-22 15:39:06,Je veux soigner mon audition à Toulon,Toulon,aucune correspondance,Audition,"Voici les 3 hôpitaux dans un rayon de 200km:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
CHU - Hôpital Gui-de-Chauliac, Montpellier (34) - Public - 17.8
CHU, Nîmes (30) - Public - 17.58"
2025-01-22 15:40:06,Je veux soigner mon audition à Lille,Lille,aucune correspondance,Audition,"Voici les 3 hôpitaux dans un rayon de 50km:
Hôpital privé La Louvière, Lille (59) - Privé - 17.95
Hôpital privé Le Bois, Lille (59) - Privé - 17.56
Polyclinique du Parc, Saint-Saulve (59) - Privé - 17.41"
2025-01-22 16:42:10,Je veux soigner mon audition à Sartrouville,Sartrouville,aucune correspondance,Audition,"Voici les 3 hôpitaux dans un rayon de 50km:
Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
Institut Arthur-Vernes, Paris (75) - Privé - 18.43"
2025-01-22 17:19:20,Je veux soigner mon audition à Paris,Paris,aucune correspondance,Audition,"Voici les 3 hôpitaux dans un rayon de 50km:
Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
Institut Arthur-Vernes, Paris (75) - Privé - 18.43"
2025-01-22 18:13:50,J'ai un cancer à Lyon,Lyon,aucune correspondance,,"Voici les 3 hôpitaux dans un rayon de 50km:
Hôpital Pierre-Wertheimer, Bron (69) - Public - 19.68
CHU - Hôpital Nord, Saint-Etienne (42) - Public - 19.59
Hôpital Pierre-Wertheimer, Bron (69) - Public - 19.26"
